order_id,device_id,order_creation_time,preceding_event,following_event,previous_status,status_time,count_total_events_before_3min,count_status_code_0_before_3min,count_status_code_200_before_3min,count_status_code_401_before_3min,count_error_econnaborted_before_3min,count_error_generic_error_before_3min,count_no_error_code_before_3min,count_total_events_after_3min,count_status_code_0_after_3min,count_status_code_200_after_3min,count_status_code_401_after_3min,count_error_econnaborted_after_3min,count_error_generic_error_after_3min,count_no_error_code_after_3min,count_total_events_before_60min,count_status_code_0_before_60min,count_status_code_200_before_60min,count_status_code_401_before_60min,count_error_econnaborted_before_60min,count_error_generic_error_before_60min,count_no_error_code_before_60min
102497143,2aec0e20-e1d8-4323-9b12-f066856488a7,2020-02-26 11:08:50,2020-02-26 11:08:49.465,2020-02-26 11:09:04.857,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,198,0,198,0,0,0,198
102497198,e2e8530f-79fe-439d-94ea-e9cdbf6d0267,2020-02-26 11:09:02,2020-02-26 11:08:38.128,2020-02-26 11:09:02.571,,,11,0,11,0,0,0,11,17,0,17,0,0,0,17,191,1,190,0,1,0,190
102497303,ce095f7d-949d-48da-a48c-cbf2e496c1b9,2020-02-26 11:10:09,2020-02-26 11:09:54.688,2020-02-26 11:10:10.344,,,11,0,11,0,0,0,11,11,0,11,0,0,0,11,19,0,19,0,0,0,19
102497378,ce095f7d-949d-48da-a48c-cbf2e496c1b9,2020-02-26 11:10:19,2020-02-26 11:10:10.344,2020-02-26 11:10:25.992,,,11,0,11,0,0,0,11,10,0,10,0,0,0,10,20,0,20,0,0,0,20
102497388,ce095f7d-949d-48da-a48c-cbf2e496c1b9,2020-02-26 11:10:26,2020-02-26 11:10:25.992,2020-02-26 11:10:41.395,,,12,0,12,0,0,0,12,10,0,10,0,0,0,10,21,0,21,0,0,0,21
102497548,4e3a2f5c-8364-468f-abaa-0eb6deb984ef,2020-02-26 11:11:16,2020-02-26 11:11:08.532,2020-02-26 11:11:25.476,,,11,0,11,0,0,0,11,11,0,11,0,0,0,11,209,2,207,0,2,0,207
102497772,ce095f7d-949d-48da-a48c-cbf2e496c1b9,2020-02-26 11:12:44,2020-02-26 11:12:35.305,2020-02-26 11:12:50.903,,,10,0,10,0,0,0,10,12,0,12,0,0,0,12,28,0,28,0,0,0,28
102497798,729c5a47-b29e-40e2-85dd-adf3fc4684fa,2020-02-26 11:13:08,2020-02-26 11:12:54.961,2020-02-26 11:13:10.198,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,106,0,106,0,0,0,106
102497874,4e3a2f5c-8364-468f-abaa-0eb6deb984ef,2020-02-26 11:13:28,2020-02-26 11:13:17.652,2020-02-26 11:13:33.694,,,10,0,10,0,0,0,10,10,1,9,0,1,0,9,208,2,206,0,2,0,206
102498130,096bf5c3-bfbf-4f3e-ac97-e09200c1d1ba,2020-02-26 11:14:46,2020-02-26 11:14:40.649,2020-02-26 11:14:55.970,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,234,0,234,0,0,0,234
102498113,096bf5c3-bfbf-4f3e-ac97-e09200c1d1ba,2020-02-26 11:14:55,2020-02-26 11:14:40.649,2020-02-26 11:14:55.970,,,10,0,10,0,0,0,10,12,0,12,0,0,0,12,233,0,233,0,0,0,233
102498116,269bfda4-bba8-4720-99d5-123381c14fbc,2020-02-26 11:14:56,2020-02-26 11:14:48.003,2020-02-26 11:15:03.359,,,12,0,12,0,0,0,12,10,0,10,0,0,0,10,213,0,213,0,0,0,213
102498272,4a771d87-1cc3-4531-a671-9a2ae14628f0,2020-02-26 11:15:45,2020-02-26 11:15:33.385,2020-02-26 11:15:49.700,ONLINE,2020-02-26 10:36:15.630,11,0,11,0,0,0,11,11,0,11,0,0,0,11,195,1,194,0,0,1,194
102498316,02829daf-1952-4e03-9f45-58dd49a4b4d7,2020-02-26 11:15:52,2020-02-26 11:15:47.134,2020-02-26 11:16:02.423,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,152,0,152,0,0,0,152
102498337,455e5f6d-e4b8-448e-ba93-412069f1c772,2020-02-26 11:16:10,2020-02-26 11:16:02.396,2020-02-26 11:16:18.705,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,224,0,224,0,0,0,224
102498412,3b68e45a-a2f2-48b1-93ea-cc2ae4046bdf,2020-02-26 11:16:27,2020-02-26 11:16:21.717,2020-02-26 11:16:37.062,,,12,0,12,0,0,0,12,12,0,12,0,0,0,12,234,0,234,0,0,0,234
102498531,e7d50744-08f1-4718-bab2-c2a49221a8c9,2020-02-26 11:17:07,2020-02-26 11:16:46.354,2020-02-26 11:17:07.008,ONLINE,2020-02-26 10:48:49.787,10,0,10,0,0,0,10,12,0,12,0,0,0,12,59,1,58,0,1,0,58
102498526,096bf5c3-bfbf-4f3e-ac97-e09200c1d1ba,2020-02-26 11:17:17,2020-02-26 11:17:13.749,2020-02-26 11:17:29.117,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,234,0,234,0,0,0,234
102498152,7cfb12d2-a87a-4d2f-b0a2-d8e17b4fae61,2020-02-26 11:17:32,2020-02-26 11:17:17.486,2020-02-26 11:17:32.898,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,145,0,145,0,0,0,145
102498633,37638585-a181-4265-aeb2-d9e284bb30c3,2020-02-26 11:17:57,2020-02-26 11:17:53.564,2020-02-26 11:18:09.080,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,232,0,232,0,0,0,232
102498631,75f4361b-fdf3-40f9-a9f0-358e5a04951f,2020-02-26 11:18:02,2020-02-26 11:17:48.515,2020-02-26 11:18:03.870,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,25,0,25,0,0,0,25
102498573,4e3a2f5c-8364-468f-abaa-0eb6deb984ef,2020-02-26 11:18:02,2020-02-26 11:17:59.593,2020-02-26 11:18:15.943,,,10,0,10,0,0,0,10,9,0,9,0,0,0,9,207,3,204,0,3,0,204
102498635,ec7a14b8-e5ad-4e31-9bc7-14782586c9bd,2020-02-26 11:18:03,2020-02-26 11:17:48.819,2020-02-26 11:18:04.369,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,130,0,130,0,0,0,130
102498704,2bbf7565-cb18-4790-9673-bfe179a94a77,2020-02-26 11:18:20,2020-02-26 11:17:42.567,2020-02-26 11:19:01.610,,,2,0,2,0,0,0,2,2,0,2,0,0,0,2,2,0,2,0,0,0,2
